"cntr","religious","Age","Gender","Education","SES","Country","Source","Trust"
1,1,50,1,3,1,"US","t_tradHealers",NA
1,1,36,1,3,1,"US","t_scientists",0.333333333333333
1,1,36,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,27,1,2,0.5,"US","t_scientists",0.666666666666667
1,1,27,1,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,56,1,3,1,"US","t_scientists",1
1,1,56,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,53,1,2,1,"US","t_scientists",0.666666666666667
1,1,53,1,2,1,"US","t_tradHealers",0.666666666666667
1,1,40,2,3,0.5,"US","t_scientists",0.666666666666667
1,1,40,2,3,0.5,"US","t_tradHealers",0.333333333333333
1,NA,28,2,2,0,"US","t_scientists",1
1,NA,28,2,2,0,"US","t_tradHealers",0.666666666666667
1,NA,22,1,2,0.5,"US","t_scientists",0.666666666666667
1,NA,22,1,2,0.5,"US","t_tradHealers",0.333333333333333
1,1,64,1,2,1,"US","t_scientists",1
1,1,64,1,2,1,"US","t_tradHealers",0.333333333333333
1,1,79,2,2,1,"US","t_scientists",1
1,1,79,2,2,1,"US","t_tradHealers",NA
1,0,32,1,3,1,"US","t_scientists",0.666666666666667
1,0,32,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,55,2,2,1,"US","t_scientists",1
1,1,55,2,2,1,"US","t_tradHealers",NA
1,1,45,2,3,1,"US","t_scientists",1
1,1,45,2,3,1,"US","t_tradHealers",0
1,1,52,1,2,0.5,"US","t_scientists",1
1,1,52,1,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,52,2,2,0.5,"US","t_scientists",0.666666666666667
1,1,52,2,2,0.5,"US","t_tradHealers",0.333333333333333
1,1,27,1,3,1,"US","t_scientists",1
1,1,27,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,78,1,3,1,"US","t_scientists",0.666666666666667
1,1,78,1,3,1,"US","t_tradHealers",NA
1,1,70,2,2,0,"US","t_scientists",0.666666666666667
1,1,70,2,2,0,"US","t_tradHealers",1
1,1,57,1,3,1,"US","t_scientists",1
1,1,57,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,56,2,1,0,"US","t_scientists",1
1,1,56,2,1,0,"US","t_tradHealers",1
1,1,63,1,2,0.5,"US","t_scientists",0
1,1,63,1,2,0.5,"US","t_tradHealers",0
1,1,66,2,2,0.5,"US","t_scientists",0.333333333333333
1,1,66,2,2,0.5,"US","t_tradHealers",0.333333333333333
1,1,57,1,2,1,"US","t_scientists",1
1,1,57,1,2,1,"US","t_tradHealers",0.666666666666667
1,0,49,1,2,0.5,"US","t_scientists",0.666666666666667
1,0,49,1,2,0.5,"US","t_tradHealers",0.666666666666667
1,0,24,2,2,1,"US","t_scientists",1
1,0,24,2,2,1,"US","t_tradHealers",0.333333333333333
1,1,71,2,3,1,"US","t_scientists",1
1,1,71,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,70,1,3,1,"US","t_scientists",1
1,1,70,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,60,2,3,1,"US","t_scientists",0.666666666666667
1,1,60,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,56,2,2,0,"US","t_scientists",1
1,1,56,2,2,0,"US","t_tradHealers",0.666666666666667
1,1,72,2,3,1,"US","t_scientists",1
1,1,72,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,54,2,2,0.5,"US","t_scientists",1
1,1,54,2,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,56,1,3,1,"US","t_scientists",0.666666666666667
1,1,56,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,73,1,3,0.5,"US","t_scientists",1
1,1,73,1,3,0.5,"US","t_tradHealers",0.333333333333333
1,1,58,1,3,1,"US","t_scientists",0.666666666666667
1,1,58,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,56,1,3,0.5,"US","t_scientists",0.666666666666667
1,1,56,1,3,0.5,"US","t_tradHealers",0.333333333333333
1,1,17,1,2,1,"US","t_scientists",1
1,1,17,1,2,1,"US","t_tradHealers",0.666666666666667
1,1,56,2,2,1,"US","t_scientists",0.333333333333333
1,1,56,2,2,1,"US","t_tradHealers",0.333333333333333
1,1,64,2,3,1,"US","t_scientists",0.666666666666667
1,1,64,2,3,1,"US","t_tradHealers",NA
1,1,55,2,2,0,"US","t_scientists",0
1,1,55,2,2,0,"US","t_tradHealers",0
1,1,75,1,2,1,"US","t_scientists",0.666666666666667
